agent_id|agent_first_name|agent_last_name|agent_email|agent_phone|agency_name|agency_city|agency_state|agency_zip|license_number|licensed_states|line_of_business|hire_date|termination_date|is_active|ytd_policies_written|ytd_premium_written|created_date|modified_date
AGT00089|Steven|Roberts|steven.roberts20@allstateagency.com|(366)385-3712|Allstate Agency|Cleveland|OH|44101|LIC558933|TX~WI|Auto|2021-10-23||1|105|182149.71|2021-10-23|2023-02-21
AGT00090|Mark|Flores|mark.flores87@libertymutualgroup.com|784.651.8564|Liberty Mutual Group|Nashville|TN|37201|LIC915922|MO~OH~NV|Multi-Line|2020-01-26||1|128|263729.89|2020-01-26|2020-12-22
AGT00091|Richard|Hill|richard.hill67@allstateagency.com|327-491-2374|Allstate Agency|Dallas|TX|75201|LIC386042|MN~TX~CA|Multi-Line|2015-08-11||1|131|73674.33|2015-08-11|2018-01-22
AGT00092|Jennifer|Anderson|jennifer.anderson11@allstateagency.com|583.429.1461|Allstate Agency|Sacramento|CA|95801|LIC203896|NC~NV~CA~WI|Commercial|2017-11-03||1|37|68799.79|2017-11-03|2019-06-13
AGT00093|Donald|Hall|donald.hall33@travelersagency.com|(420)353-9991|Travelers Agency|Dallas|TX|75201|LIC738457|CA|All Lines|2020-07-09||1|108|55593.43|2020-07-09|2022-02-19
AGT00094|Sarah|Martin|sarah.martin69@libertymutualgroup.com|+12168479443|Liberty Mutual Group|San Diego|CA|92101|LIC353690|AZ~CA~NE~TX|Homeowners|2011-01-27||1|74|214619.45|2011-01-27|2013-01-18
AGT00095|Sarah|Torres|sarah.torres65@statefarmoffice.com|7197671333|State Farm Office|Tucson|AZ|85701|LIC592972|AZ~FL~OH|Auto|2014-03-15||1|99|490519.71|2014-03-15|2015-08-16
AGT00096|Deborah|Johnson|deborah.johnson75@farmersinsurance.com|952-974-6447|Farmers Insurance|Portland|OR|97201|LIC146489|AK|Commercial|2011-07-08||1|139|169273.63|2011-07-08|2012-06-30
AGT00097|Stephanie|Baker|stephanie.baker59@nationwidepartners.com|(237) 500-4302|Nationwide Partners|Atlanta|GA|30301|LIC929538|CA|Homeowners|2020-09-25||1|10|157797.91|2020-09-25|2022-06-22
AGT00098|Steven|Sanchez|steven.sanchez7@progressivedirect.com|(871) 539-5476|Progressive Direct|Cleveland|OH|44101|LIC938171|TN~OR|Commercial|2020-08-14|2026-07-08|0|0|0.0|2020-08-14|2022-11-11
AGT00099|Deborah|Lewis|deborah.lewis94@nationwidepartners.com|+16342808055|Nationwide Partners|Milwaukee|WI|53201|LIC962287|NV~FL~CO~PA|Homeowners|2017-08-09||1|139|146883.21|2017-08-09|2018-03-07
AGT00100|Jennifer|Lee|jennifer.lee58@progressivedirect.com|+12439446776|Progressive Direct|Aurora|CO|80010|LIC556068|TX~TX~CA~OR|Commercial|2016-08-18||1|14|37520.58|2016-08-18|2018-11-27
AGT00101|Betty|Allen|betty.allen83@allstateagency.com|+15755707272|Allstate Agency|Pittsburgh|PA|15201|LIC133958|IL~TX~AZ~CA|All Lines|2013-08-03||1|39|339531.03|2013-08-03|2015-09-01
AGT00102|Betty|Lewis|betty.lewis36@cnapartners.com|(455)316-1424|CNA Partners|Lexington|KY|40502|LIC295085|NM~TN~CA|Multi-Line|2011-09-22||1|132|193493.69|2011-09-22|2012-05-20
AGT00103|Thomas|Roberts|thomas.roberts16@libertymutualgroup.com|338-275-8406|Liberty Mutual Group|Seattle|WA|98101|LIC848022|TX~NE~OH|Multi-Line|2020-01-04||1|22|405256.61|2020-01-04|2021-10-19
AGT00104|Kevin|Thompson|kevin.thompson82@hartfordagency.com|378-570-9335|Hartford Agency|Riverside|CA|92501|LIC227257|TX~CA~TX|Homeowners|2011-06-16||1|35|118368.09|2011-06-16|2014-03-23
AGT00105|Mary|White|mary.white9@travelersagency.com|+15166078842|Travelers Agency|Minneapolis|MN|55401|LIC530749|CA~PA|Multi-Line|2018-04-11||1|147|36875.36|2018-04-11|2020-01-20
AGT00106|Carol|Jones|carol.jones56@hartfordagency.com|+17142563034|Hartford Agency|Sacramento|CA|95801|LIC260448|AK~TX|Commercial|2020-06-13||1|42|80983.48|2020-06-13|2021-09-17
AGT00107|Daniel|King|daniel.king79@progressivedirect.com|(746)295-9234|Progressive Direct|Nashville|TN|37201|LIC276827|TX~HI~OK|All Lines|2011-10-09||1|148|77097.13|2011-10-09|2013-08-30
AGT00108|Andrew|Williams|andrew.williams74@allstateagency.com|6268321496|Allstate Agency|Los Angeles|CA|90001|LIC757629|CA~NC~AK|All Lines|2011-10-28||1|74|320953.64|2011-10-28|2013-07-07
AGT00109|Donald|Thomas|donald.thomas57@progressivedirect.com|625-695-8609|Progressive Direct|Santa Ana|CA|92701|LIC456717|TX|All Lines|2019-02-09||1|36|156291.25|2019-02-09|2020-11-23
AGT00110|George|Thompson|george.thompson31@farmersinsurance.com|6773255382|Farmers Insurance|Albuquerque|NM|87101|LIC359961|TN|Homeowners|2012-12-07||1|24|25302.65|2012-12-07|2015-02-01
AGT00111|Michelle|Clark|michelle.clark64@farmersinsurance.com|727.678.9171|Farmers Insurance|San Francisco|CA|94101|LIC621530|OH~KY~TX|Auto|2013-08-01||1|23|472616.4|2013-08-01|2016-06-01
AGT00112|Ashley|Thomas|ashley.thomas37@allstateagency.com|7492082761|Allstate Agency|Charlotte|NC|28201|LIC240440|TX~CA~CA~MO|Commercial|2017-11-30|2027-01-26|0|0|0.0|2017-11-30|2019-12-19
AGT00113|Timothy|Sanchez|timothy.sanchez37@usaaagency.com|2755959261|USAA Agency|Las Vegas|NV|89101|LIC901535|NV~MN|All Lines|2011-01-06|2015-02-24|0|0|0.0|2011-01-06|2011-09-06
AGT00114|William|Miller|william.miller78@farmersinsurance.com|(721) 611-9193|Farmers Insurance|Albuquerque|NM|87101|LIC147504|KY~FL~OH|Auto|2018-05-16||1|35|356795.92|2018-05-16|2021-01-10
AGT00115|Kimberly|Robinson|kimberly.robinson95@nationwidepartners.com|+15068076511|Nationwide Partners|Jacksonville|FL|32201|LIC968524|TX~NM~CA|All Lines|2021-07-25||1|136|244923.33|2021-07-25|2023-03-30
AGT00116|Donald|Johnson|donald.johnson4@statefarmoffice.com|(811)685-5350|State Farm Office|Las Vegas|NV|89101|LIC920934|MO~TX~HI|All Lines|2017-06-06||1|147|113771.61|2017-06-06|2017-09-19
AGT00117|Donna|Walker|donna.walker74@cnapartners.com|(917) 312-4125|CNA Partners|Austin|TX|73301|LIC562462|FL~CA~CA~IL|Commercial|2021-10-04||1|107|75715.63|2021-10-04|2022-11-25
AGT00118|Anthony|Allen|anthony.allen85@allstateagency.com|689.738.7173|Allstate Agency|Anchorage|AK|99501|LIC281594|MN~TN|Multi-Line|2020-07-30||1|136|171163.51|2020-07-30|2022-07-25
AGT00119|Amanda|Roberts|amanda.roberts39@cnapartners.com|(430)504-5735|CNA Partners|St. Louis|MO|63101|LIC317346|CO~MN|Multi-Line|2015-12-06||1|81|239901.71|2015-12-06|2017-06-18
AGT00120|Charles|Davis|charles.davis37@usaaagency.com|9312806674|USAA Agency|Tampa|FL|33601|LIC787836|TN~IL|Commercial|2018-07-08||1|122|106993.4|2018-07-08|2020-01-14
AGT00121|Emily|Hall|emily.hall86@statefarmoffice.com|(743) 431-4814|State Farm Office|Denver|CO|80201|LIC205065|CA~TX|Multi-Line|2013-01-29||1|84|358679.03|2013-01-29|2013-08-22
AGT00122|Amanda|Roberts|amanda.roberts61@hartfordagency.com|688.866.4267|Hartford Agency|Dallas|TX|75201|LIC436768|AZ~CA|Commercial|2010-02-12||1|15|453968.48|2010-02-12|2010-08-14
AGT00123|Carol|Torres|carol.torres64@nationwidepartners.com|(390) 966-5742|Nationwide Partners|Indianapolis|IN|46201|LIC109717|IL~NM|Commercial|2010-11-02||1|145|301391.48|2010-11-02|2012-09-18
AGT00124|Charles|Robinson|charles.robinson35@travelersagency.com|397-315-6417|Travelers Agency|Anaheim|CA|92801|LIC866634|NC~GA|Multi-Line|2021-10-05||1|65|359299.09|2021-10-05|2021-11-02
AGT00125|Deborah|Perez|deborah.perez52@nationwidepartners.com|885-297-4027|Nationwide Partners|Nashville|TN|37201|LIC600646|CA~NC~TN~PA|Commercial|2014-05-02||1|63|3415.06|2014-05-02|2016-06-25
AGT00126|Sarah|Lewis|sarah.lewis84@farmersinsurance.com|(568) 909-4871|Farmers Insurance|Lexington|KY|40502|LIC800224|WA|Auto|2015-12-28||1|119|153403.17|2015-12-28|2018-04-06
